Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time
0,mapToPair at MatchingRoutesShapeGPS.java:121,[],120,1511448648296,1511448664668
1,mapToPair at MatchingRoutesShapeGPS.java:135,[],120,1511448648322,1511448665203
2,union at MatchingRoutesShapeGPS.java:245,"[0, 1]",240,1511448665296,1511448677640
3,saveAsTextFile at MatchingRoutesShapeGPS.java:88,[2],120,1511448677697,1511448784207
4,mapToPair at MatchingRoutesShapeGPS.java:121,[],120,1511448785343,1511448789446
5,mapToPair at MatchingRoutesShapeGPS.java:135,[],120,1511448785364,1511448789795
6,union at MatchingRoutesShapeGPS.java:245,"[5, 4]",240,1511448789832,1511448797882
7,saveAsTextFile at MatchingRoutesShapeGPS.java:88,[6],120,1511448797939,1511448872823
8,mapToPair at MatchingRoutesShapeGPS.java:121,[],120,1511448873600,1511448880482
9,mapToPair at MatchingRoutesShapeGPS.java:135,[],120,1511448873611,1511448880673
10,union at MatchingRoutesShapeGPS.java:245,"[9, 8]",240,1511448880704,1511448887338
11,saveAsTextFile at MatchingRoutesShapeGPS.java:88,[10],120,1511448887379,1511449070518
12,mapToPair at MatchingRoutesShapeGPS.java:121,[],120,1511449071175,1511449077919
13,mapToPair at MatchingRoutesShapeGPS.java:135,[],120,1511449071183,1511449078028
14,union at MatchingRoutesShapeGPS.java:245,"[12, 13]",240,1511449078055,1511449084182
15,saveAsTextFile at MatchingRoutesShapeGPS.java:88,[14],120,1511449084225,1511449259053
17,mapToPair at MatchingRoutesShapeGPS.java:135,[],120,1511449259631,1511449266928
16,mapToPair at MatchingRoutesShapeGPS.java:121,[],120,1511449259620,1511449266981
18,union at MatchingRoutesShapeGPS.java:245,"[16, 17]",240,1511449267012,1511449272654
19,saveAsTextFile at MatchingRoutesShapeGPS.java:88,[18],120,1511449272700,1511449467091
